Albania,3141
Algeria,2996
Argentina,6935
Armenia,2810
Australia,21329
Austria,20718
Azerbaijan,3851
Bangladesh,1414
Belarus,7359
Belgium,17917
Benin,989
Bolivia,4787
Bosnia and Herzegovina,7131
Botswana,2907
Brazil,7654
Bulgaria,7474
Burkina Faso,1002
Burundi,640
Cameroon,1841
Canada,22042
Chad,1182
Chile,9304
China,4246
Colombia,5201
Comoros,2050
Costa Rica,8440
Croatia,8008
Cyprus,15663
Czech Republic,11394
Denmark,20304
Dominican Republic,5873
Ecuador,5046
Egypt,1847
El Salvador,3989
Estonia,12540
Eswatini,2091
Ethiopia,1107
Finland,18742
France,19409
Gabon,3544
Gambia,1784
Georgia,2814
Germany,19730
Ghana,2422
Greece,8131
Guatemala,3103
Guinea,1036
Haiti,1540
Honduras,3109
Hungary,8613
Iceland,19300
India,1314
Iran,5924
Iraq,2293
Ireland,17938
Israel,13271
Italy,15547
Ivory Coast,1358
Jamaica,4429
Japan,17095
Jordan,4025
Kazakhstan,4313
Kenya,1197
Kyrgyzstan,2235
Laos,1389
Latvia,9727
Lebanon,9091
Lesotho,1659
Liberia,945
Lithuania,10479
Luxembourg,31376
Madagascar,567
Malawi,733
Malaysia,10200
Maldives,6435
Mali,861
Malta,16509
Mauritania,2094
Mauritius,4969
Mexico,4929
Moldova,3590
Mongolia,3409
Montenegro,5123
Morocco,3721
Mozambique,947
Myanmar,2296
Namibia,4023
Nepal,1428
Netherlands,19690
Nicaragua,3913
Niger,937
Nigeria,1021
North Macedonia,4279
Norway,25272
Pakistan,1797
Panama,9453
Paraguay,6373
Peru,4977
Philippines,2199
Poland,10155
Portugal,10316
Republic of the Congo,1375
Romania,5949
Russia,7275
Rwanda,925
Senegal,1137
Serbia,5252
Sierra Leone,1004
Slovakia,8408
Slovenia,13056
South Africa,4081
South Korea,14316
Spain,13822
Sri Lanka,3162
Sweden,20193
Switzerland,25787
Taiwan,16355
Tajikistan,2437
Tanzania,992
Thailand,5670
Togo,964
Tunisia,4076
Turkey,7267
Turkmenistan,963
Uganda,1166
Ukraine,5010
United Arab Emirates,27017
United Kingdom,18133
United States,25332
Uruguay,9888
Uzbekistan,752
Venezuela,3741
Vietnam,3881
Yemen,1503
Zambia,1045
Zimbabwe,1429